1622702808303-- 相似度：0.581011(D).jpg
1622702918774-- 相似度：0.676534(T).jpg
1622702918854-- 相似度：0.947264(T).jpg
1622702918927-- 相似度：0.874074(T).jpg
1622702921303-- 相似度：0.775569(D).jpg
1622702921379-- 相似度：0.909592(T).jpg
1622702921453-- 相似度：0.875059(T).jpg
1622702921524-- 相似度：0.7994(T).jpg
1622702921596-- 相似度：0.792554(T).jpg
1622702924307-- 相似度：0.940191(D).jpg
1622702924392-- 相似度：0.677387(T).jpg
1622702924469-- 相似度：0.477254(T).jpg
1622702924547-- 相似度：0.565468(T).jpg
1622702924624-- 相似度：0.441999(T).jpg
1622702928655-- 相似度：0.838671(D).jpg
1622702928908-- 相似度：0.976193(D).jpg
1622702928990-- 相似度：0.989284(T).jpg
1622702929069-- 相似度：0.991691(T).jpg
1622702929146-- 相似度：0.993647(T).jpg
1622702929225-- 相似度：0.996914(T).jpg
1622702931999-- 相似度：0.763681(D).jpg
1622702932078-- 相似度：0.679883(T).jpg
1622702932152-- 相似度：0.85907(T).jpg
1622702932231-- 相似度：0.968582(T).jpg
1622702932308-- 相似度：0.979536(T).jpg
1622702938045-- 相似度：0.592904(D).jpg
1622702938113-- 相似度：0.808292(T).jpg
1622702938180-- 相似度：0.905969(T).jpg
1622702938244-- 相似度：0.935221(T).jpg
1622702938312-- 相似度：0.97121(T).jpg
1622702940047-- 相似度：0.563653(D).jpg
1622702940115-- 相似度：0.573792(T).jpg
1622702940184-- 相似度：0.473606(T).jpg
1622702940250-- 相似度：0.679152(T).jpg
1622702940316-- 相似度：0.769256(T).jpg
1622702945768-- 相似度：0.885963(D).jpg
1622702945840-- 相似度：0.892903(T).jpg
1622702945906-- 相似度：0.992027(T).jpg
1622702945976-- 相似度：0.890853(T).jpg
1622702946042-- 相似度：0.908543(T).jpg
1622702948552-- 相似度：0.982135(D).jpg
1622702948618-- 相似度：0.986998(T).jpg
1622702948688-- 相似度：0.965138(T).jpg
1622702948758-- 相似度：0.995434(T).jpg
1622702948822-- 相似度：0.997002(T).jpg
1622702951358-- 相似度：0.999568(D).jpg
1622702951427-- 相似度：0.729314(T).jpg
1622702951494-- 相似度：0.590187(T).jpg
1622702951558-- 相似度：0.654825(T).jpg
1622702951631-- 相似度：0.242472(T).jpg
1622702965319-- 相似度：0.025363(D).jpg
1622702965943-- 相似度：0.570605(T).jpg
1622702966027-- 相似度：0.816235(D).jpg
1622702966101-- 相似度：0.537913(T).jpg
1622702966180-- 相似度：0.957998(T).jpg
1622702966255-- 相似度：0.970562(T).jpg
1622702966335-- 相似度：0.981501(T).jpg
1622702968094-- 相似度：0.405948(D).jpg
1622702968177-- 相似度：0.973977(T).jpg
1622702968254-- 相似度：0.921955(T).jpg
1622702968333-- 相似度：0.966941(T).jpg
1622702968411-- 相似度：0.980924(T).jpg
1622702970857-- 相似度：0.516756(D).jpg
1622702970941-- 相似度：0.931051(T).jpg
1622702971015-- 相似度：0.884922(T).jpg
1622702971094-- 相似度：0.961704(T).jpg
1622702971174-- 相似度：0.853438(T).jpg
1622702975646-- 相似度：0.990744(D).jpg
1622702975722-- 相似度：0.995892(T).jpg
1622702975796-- 相似度：0.992956(T).jpg
1622702975872-- 相似度：0.999597(T).jpg
1622702975949-- 相似度：0.999575(T).jpg
1622702977684-- 相似度：0.276801(D).jpg
1622702977761-- 相似度：0.6432(T).jpg
1622702977834-- 相似度：0.265016(T).jpg
1622702977907-- 相似度：0.038213(T).jpg
1622702977999-- 相似度：0.476888(T).jpg
1622702981274-- 相似度：0.983506(D).jpg
1622702981350-- 相似度：0.969777(T).jpg
1622702981423-- 相似度：0.985984(T).jpg
1622702981497-- 相似度：0.990968(T).jpg
1622702981573-- 相似度：0.968345(T).jpg
1622702984066-- 相似度：0.899486(D).jpg
1622702984146-- 相似度：0.705638(T).jpg
1622702984218-- 相似度：0.87605(T).jpg
1622702984290-- 相似度：0.820562(T).jpg
1622702984373-- 相似度：0.938265(T).jpg
1622702986667-- 相似度：0.554452(D).jpg
1622702986745-- 相似度：0.982666(T).jpg
1622702986817-- 相似度：0.990682(T).jpg
1622702986894-- 相似度：0.996504(T).jpg
1622702986971-- 相似度：0.933597(T).jpg
1622702994795-- 相似度：0.539877(D).jpg
1622702994879-- 相似度：0.228533(T).jpg
1622702994954-- 相似度：0.760679(T).jpg
1622702995806-- 相似度：0.74357(D).jpg
1622702995889-- 相似度：0.989369(T).jpg
1622702995967-- 相似度：0.997327(T).jpg
1622702996045-- 相似度：0.993484(T).jpg
1622702996123-- 相似度：0.98878(T).jpg
1622702998422-- 相似度：0.78726(D).jpg
1622702998502-- 相似度：0.990851(T).jpg
1622702998577-- 相似度：0.99942(T).jpg
1622702998660-- 相似度：0.97274(T).jpg
1622702998741-- 相似度：0.902611(T).jpg
1622703000640-- 相似度：0.93512(D).jpg
1622703000719-- 相似度：0.985968(T).jpg
1622703000804-- 相似度：0.998839(T).jpg
1622703000878-- 相似度：0.989785(T).jpg
1622703000960-- 相似度：0.999138(T).jpg
1622703004471-- 相似度：0.997004(D).jpg
1622703004550-- 相似度：0.645059(T).jpg
1622703004633-- 相似度：0.408685(T).jpg
1622703004709-- 相似度：0.995171(T).jpg
1622703004793-- 相似度：0.999472(T).jpg
1622703007248-- 相似度：0.92391(D).jpg
1622703007326-- 相似度：0.567566(T).jpg
1622703007403-- 相似度：0.682142(T).jpg
1622703007481-- 相似度：0.764665(T).jpg
1622703007557-- 相似度：0.795805(T).jpg
1622703009970-- 相似度：0.090758(D).jpg
1622703010245-- 相似度：0.513694(D).jpg
1622703010323-- 相似度：0.855286(T).jpg
1622703010399-- 相似度：0.911385(T).jpg
1622703010481-- 相似度：0.889688(T).jpg
1622703010558-- 相似度：0.837848(T).jpg
1622703012136-- 相似度：0.043806(D).jpg
1622703022440-- 相似度：0.993789(D).jpg
1622703022527-- 相似度：0.999282(T).jpg
1622703022607-- 相似度：0.992751(T).jpg
1622703022684-- 相似度：0.907622(T).jpg
1622703022805-- 相似度：0.881338(T).jpg
1622703024155-- 相似度：0.984524(D).jpg
1622703024243-- 相似度：0.997695(T).jpg
1622703024329-- 相似度：0.986223(T).jpg
1622703024410-- 相似度：0.518668(T).jpg
1622703024487-- 相似度：0.426869(T).jpg
1622703026668-- 相似度：0.948702(D).jpg
1622703026746-- 相似度：0.99633(T).jpg
1622703026822-- 相似度：0.895627(T).jpg
1622703026902-- 相似度：0.651572(T).jpg
1622703026981-- 相似度：0.733858(T).jpg
1622703031562-- 相似度：0.852232(D).jpg
1622703031642-- 相似度：0.915757(T).jpg
1622703031717-- 相似度：0.871479(T).jpg
1622703031792-- 相似度：0.970243(T).jpg
1622703031868-- 相似度：0.935533(T).jpg
1622703034143-- 相似度：0.41038(D).jpg
1622703034220-- 相似度：0.862656(T).jpg
1622703034293-- 相似度：0.975978(T).jpg
1622703034370-- 相似度：0.993449(T).jpg
1622703034451-- 相似度：0.999083(T).jpg
1622703036858-- 相似度：0.776731(D).jpg
1622703036940-- 相似度：0.993177(T).jpg
1622703037015-- 相似度：0.981062(T).jpg
1622703037095-- 相似度：0.939938(T).jpg
1622703037175-- 相似度：0.984131(T).jpg
1622703039520-- 相似度：0.679577(D).jpg
1622703039599-- 相似度：0.903617(T).jpg
1622703039674-- 相似度：0.988424(T).jpg
1622703039755-- 相似度：0.99866(T).jpg
1622703039836-- 相似度：0.992444(T).jpg
1622703042529-- 相似度：0.579877(D).jpg
1622703042609-- 相似度：0.964201(T).jpg
1622703042684-- 相似度：0.981518(T).jpg
1622703042929-- 相似度：0.977376(D).jpg
1622703043011-- 相似度：0.999785(T).jpg
1622703043090-- 相似度：0.999792(T).jpg
1622703043169-- 相似度：0.997073(T).jpg
1622703043256-- 相似度：0.998932(T).jpg
1622703045433-- 相似度：0.971133(D).jpg
1622703045512-- 相似度：0.990145(T).jpg
1622703045589-- 相似度：0.993943(T).jpg
1622703045666-- 相似度：0.992662(T).jpg
1622703045746-- 相似度：0.983301(T).jpg
1622703051037-- 相似度：0.985171(D).jpg
1622703051120-- 相似度：0.997711(T).jpg
1622703051199-- 相似度：0.999576(T).jpg
1622703051281-- 相似度：0.999819(T).jpg
1622703051371-- 相似度：0.998943(T).jpg
1622703056213-- 相似度：0.165501(D).jpg
1622703056288-- 相似度：0.361847(T).jpg
1622703056363-- 相似度：0.885976(T).jpg
1622703056440-- 相似度：0.271974(T).jpg
1622703056516-- 相似度：0.871372(T).jpg
1622703059580-- 相似度：0.537158(D).jpg
1622703059656-- 相似度：0.523598(T).jpg
1622703059729-- 相似度：0.851762(T).jpg
1622703059798-- 相似度：0.682768(T).jpg
1622703064634-- 相似度：0.160253(D).jpg
1622703064709-- 相似度：0.54075(T).jpg
1622703064779-- 相似度：0.223385(T).jpg
1622703064853-- 相似度：0.659644(T).jpg
1622703064926-- 相似度：0.549631(T).jpg
1622703067490-- 相似度：0.925778(D).jpg
1622703067568-- 相似度：0.985624(T).jpg
1622703067641-- 相似度：0.92065(T).jpg
1622703067717-- 相似度：0.930533(T).jpg
1622703067791-- 相似度：0.925496(T).jpg
1622703070443-- 相似度：0.242992(D).jpg
1622703070524-- 相似度：0.533457(T).jpg
1622703070598-- 相似度：0.621296(T).jpg
1622703070676-- 相似度：0.189767(T).jpg
1622703070752-- 相似度：0.724927(T).jpg
1622703074108-- 相似度：0.028054(D).jpg
1622703074185-- 相似度：0.505738(T).jpg
1622703074258-- 相似度：0.521738(T).jpg
1622703074335-- 相似度：0.52568(T).jpg
1622703074413-- 相似度：0.608388(T).jpg
1622703078100-- 相似度：0.693124(D).jpg
1622703078180-- 相似度：0.92131(T).jpg
1622703078255-- 相似度：0.843222(T).jpg
1622703078333-- 相似度：0.838888(T).jpg
1622703078412-- 相似度：0.704785(T).jpg
1622703083395-- 相似度：0.732728(D).jpg
1622703083477-- 相似度：0.969045(T).jpg
1622703083550-- 相似度：0.979366(T).jpg
1622703083629-- 相似度：0.871176(T).jpg
1622703083704-- 相似度：0.942447(T).jpg
1622703085285-- 相似度：0.821639(D).jpg
1622703085360-- 相似度：0.948922(T).jpg
1622703085433-- 相似度：0.976104(T).jpg
1622703085510-- 相似度：0.992144(T).jpg
1622703085584-- 相似度：0.965192(T).jpg
1622703087820-- 相似度：0.81909(D).jpg
1622703087894-- 相似度：0.962274(T).jpg
1622703087967-- 相似度：0.968337(T).jpg
1622703088045-- 相似度：0.983334(T).jpg
1622703088118-- 相似度：0.945654(T).jpg
1622703106069-- 相似度：0.164418(D).jpg
1622703106145-- 相似度：0.446884(T).jpg
1622703106220-- 相似度：0.231744(T).jpg
1622703106292-- 相似度：0.502266(T).jpg
1622703106363-- 相似度：0.717781(T).jpg
1622703108542-- 相似度：0.115(D).jpg
1622703108613-- 相似度：0.345609(T).jpg
1622703108683-- 相似度：0.2876(T).jpg
1622703108755-- 相似度：0.065974(T).jpg
1622703108825-- 相似度：0.150673(T).jpg
1622703111383-- 相似度：0.462364(D).jpg
1622703111472-- 相似度：0.30461(T).jpg
1622703111547-- 相似度：0.175771(T).jpg
1622703111618-- 相似度：0.243794(T).jpg
1622703111695-- 相似度：0.308649(T).jpg
1622703135895-- 相似度：0.811486(D).jpg
1622703135978-- 相似度：0.988175(T).jpg
1622703136049-- 相似度：0.98152(T).jpg
1622703136119-- 相似度：0.975768(T).jpg
1622703136191-- 相似度：0.977268(T).jpg
1622703138096-- 相似度：0.690563(D).jpg
1622703138179-- 相似度：0.845894(T).jpg
1622703138254-- 相似度：0.830208(T).jpg
1622703138324-- 相似度：0.940554(T).jpg
1622703138395-- 相似度：0.878115(T).jpg
1622703140096-- 相似度：0.909774(D).jpg
1622703140177-- 相似度：0.763981(T).jpg
1622703140252-- 相似度：0.732742(T).jpg
1622703140328-- 相似度：0.865474(T).jpg
1622703140398-- 相似度：0.318931(T).jpg
1622703145789-- 相似度：0.604637(D).jpg
1622703145863-- 相似度：0.785265(T).jpg
1622703145932-- 相似度：0.101217(T).jpg
1622703146005-- 相似度：0.186591(T).jpg
1622703146076-- 相似度：0.02787(T).jpg
1622703148796-- 相似度：0.169164(D).jpg
1622703148873-- 相似度：0.310833(T).jpg
1622703148943-- 相似度：0.530099(T).jpg
1622703149017-- 相似度：0.552858(T).jpg
1622703149088-- 相似度：0.839582(T).jpg
1622703152869-- 相似度：0.662395(D).jpg
1622703152941-- 相似度：0.99778(T).jpg
1622703153012-- 相似度：0.995741(T).jpg
1622703153086-- 相似度：0.984571(T).jpg
1622703153157-- 相似度：0.986656(T).jpg
1622703155179-- 相似度：0.42462(D).jpg
1622703155255-- 相似度：0.987122(T).jpg
1622703155329-- 相似度：0.990949(T).jpg
1622703155398-- 相似度：0.978597(T).jpg
1622703155485-- 相似度：0.998953(T).jpg
1622703159121-- 相似度：0.991216(D).jpg
1622703159200-- 相似度：0.99752(T).jpg
1622703159273-- 相似度：0.998653(T).jpg
1622703159350-- 相似度：0.995784(T).jpg
1622703159427-- 相似度：0.998091(T).jpg
1622703162050-- 相似度：0.999366(D).jpg
1622703162125-- 相似度：0.999677(T).jpg
1622703162198-- 相似度：0.999125(T).jpg
1622703162270-- 相似度：0.999879(T).jpg
1622703162345-- 相似度：0.999472(T).jpg
1622703164593-- 相似度：0.805936(D).jpg
1622703164669-- 相似度：0.991886(T).jpg
1622703164745-- 相似度：0.855325(T).jpg
1622703164820-- 相似度：0.998697(T).jpg
1622703164893-- 相似度：0.99916(T).jpg
1622703169703-- 相似度：0.450748(D).jpg
1622703169781-- 相似度：0.802652(T).jpg
1622703169851-- 相似度：0.926275(T).jpg
1622703169925-- 相似度：0.982866(T).jpg
1622703169999-- 相似度：0.947783(T).jpg
1622703172518-- 相似度：0.079103(D).jpg
1622703172595-- 相似度：0.28525(T).jpg
1622703172669-- 相似度：0.275449(T).jpg
1622703172743-- 相似度：0.190459(T).jpg
1622703172816-- 相似度：0.271234(T).jpg
1622703175534-- 相似度：0.748299(D).jpg
1622703175608-- 相似度：0.926795(T).jpg
1622703175685-- 相似度：0.933477(T).jpg
1622703175756-- 相似度：0.895864(T).jpg
1622703175827-- 相似度：0.89349(T).jpg
1622703178468-- 相似度：0.178492(D).jpg
1622703178540-- 相似度：0.748198(T).jpg
1622703178611-- 相似度：0.824442(T).jpg
1622703178688-- 相似度：0.557642(T).jpg
1622703178764-- 相似度：0.27858(T).jpg
1622703181920-- 相似度：0.474833(D).jpg
1622703181997-- 相似度：0.431309(T).jpg
1622703182074-- 相似度：0.549072(T).jpg
1622703182148-- 相似度：0.290824(T).jpg
1622703182221-- 相似度：0.536109(T).jpg
1622703184975-- 相似度：0.699861(D).jpg
1622703185053-- 相似度：0.865697(T).jpg
1622703185134-- 相似度：0.689706(T).jpg
1622703185205-- 相似度：0.91122(T).jpg
1622703185274-- 相似度：0.81479(T).jpg
1622703188297-- 相似度：0.487071(D).jpg
1622703188380-- 相似度：0.273238(T).jpg
1622703188453-- 相似度：0.106892(T).jpg
1622703188530-- 相似度：0.448936(T).jpg
1622703188601-- 相似度：0.6533(T).jpg
1622703194211-- 相似度：0.003922(D).jpg
1622703194283-- 相似度：0.316199(T).jpg
1622703194352-- 相似度：0.148987(T).jpg
1622703194421-- 相似度：0.330254(T).jpg
1622703194493-- 相似度：0.305293(T).jpg
1622703197944-- 相似度：0.017819(D).jpg
1622703198021-- 相似度：0.439428(T).jpg
1622703198091-- 相似度：0.682044(T).jpg
1622703198175-- 相似度：0.471274(T).jpg
1622703198251-- 相似度：0.40678(T).jpg
1622703201321-- 相似度：0.485292(D).jpg
1622703201397-- 相似度：0.687483(T).jpg
1622703201475-- 相似度：0.724006(T).jpg
1622703201550-- 相似度：0.611589(T).jpg
1622703201621-- 相似度：0.699789(T).jpg
1622703204321-- 相似度：0.040928(D).jpg
1622703204398-- 相似度：0.31361(T).jpg
1622703204470-- 相似度：0.34113(T).jpg
1622703204543-- 相似度：0.368434(T).jpg
1622703204616-- 相似度：0.474482(T).jpg
1622703215863-- 相似度：0.91387(D).jpg
1622703215943-- 相似度：0.989932(T).jpg
1622703216017-- 相似度：0.830825(T).jpg
1622703216094-- 相似度：0.949056(T).jpg
1622703216170-- 相似度：0.967669(T).jpg
1622703226721-- 相似度：0.924791(D).jpg
1622703226803-- 相似度：0.980729(T).jpg
1622703226877-- 相似度：0.986331(T).jpg
1622703226954-- 相似度：0.982283(T).jpg
1622703227031-- 相似度：0.99683(T).jpg
1622703229069-- 相似度：0.93373(D).jpg
1622703229141-- 相似度：0.948886(T).jpg
1622703229213-- 相似度：0.918237(T).jpg
1622703229288-- 相似度：0.957764(T).jpg
1622703229359-- 相似度：0.947417(T).jpg
1622703232568-- 相似度：0.990937(D).jpg
1622703232641-- 相似度：0.820795(T).jpg
1622703232717-- 相似度：0.961644(T).jpg
1622703232789-- 相似度：0.970515(T).jpg
1622703232867-- 相似度：0.983915(T).jpg
1622703235717-- 相似度：0.941151(D).jpg
1622703235798-- 相似度：0.531999(T).jpg
1622703235870-- 相似度：0.178956(T).jpg
1622703235939-- 相似度：0.257615(T).jpg
1622703236012-- 相似度：0.955806(T).jpg
1622703238121-- 相似度：0.833109(D).jpg
1622703238212-- 相似度：0.841976(T).jpg
1622703238286-- 相似度：0.968875(T).jpg
1622703238362-- 相似度：0.929798(T).jpg
1622703238436-- 相似度：0.892731(T).jpg
1622703240961-- 相似度：0.888867(D).jpg
1622703241040-- 相似度：0.960469(T).jpg
1622703241115-- 相似度：0.991713(T).jpg
1622703241191-- 相似度：0.945706(T).jpg
1622703241264-- 相似度：0.630827(T).jpg
1622703329576-- 相似度：0.375153(D).jpg
1622703329661-- 相似度：0.007391(T).jpg
1622703329744-- 相似度：0.005955(T).jpg
1622703330786-- 相似度：0.005056(D).jpg
1622703351717-- 相似度：0.009397(D).jpg
1622703351794-- 相似度：0.738485(T).jpg
1622703354141-- 相似度：0.771255(D).jpg
1622703354214-- 相似度：0.902236(T).jpg
1622703354281-- 相似度：0.885324(T).jpg
1622703354353-- 相似度：0.939892(T).jpg
1622703354417-- 相似度：0.870598(T).jpg
1622703366085-- 相似度：0.970466(D).jpg
1622703366167-- 相似度：0.172827(T).jpg
1622703366238-- 相似度：0.284614(T).jpg
1622703366312-- 相似度：0.563266(T).jpg
1622703366384-- 相似度：0.331495(T).jpg
1622703370746-- 相似度：0.888358(D).jpg
1622703370815-- 相似度：0.870476(T).jpg
1622703370882-- 相似度：0.876839(T).jpg
1622703370946-- 相似度：0.895693(T).jpg
1622703371013-- 相似度：0.93977(T).jpg
1622703374904-- 相似度：0.570361(D).jpg
1622703374975-- 相似度：0.752482(T).jpg
1622703375036-- 相似度：0.392374(T).jpg
1622703375102-- 相似度：0.1832(T).jpg
1622703375165-- 相似度：0.07207(T).jpg
1622703382953-- 相似度：0.864048(D).jpg
1622703383017-- 相似度：0.747537(T).jpg
1622703383078-- 相似度：0.327411(T).jpg
1622703383139-- 相似度：0.259089(T).jpg
1622703383205-- 相似度：0.215962(T).jpg
1622703385530-- 相似度：0.929328(D).jpg
1622703385596-- 相似度：0.823493(T).jpg
1622703385664-- 相似度：0.730988(T).jpg
1622703385727-- 相似度：0.752388(T).jpg
1622703385795-- 相似度：0.944909(T).jpg
1622703387997-- 相似度：0.811473(D).jpg
1622703388063-- 相似度：0.798383(T).jpg
1622703388128-- 相似度：0.918829(T).jpg
1622703388190-- 相似度：0.784019(T).jpg
1622703388255-- 相似度：0.829518(T).jpg
1622703391295-- 相似度：0.950614(D).jpg
1622703391359-- 相似度：0.981306(T).jpg
1622703391420-- 相似度：0.800377(T).jpg
1622703391480-- 相似度：0.802697(T).jpg
1622703391544-- 相似度：0.652571(T).jpg
1622703394948-- 相似度：0.684516(D).jpg
1622703395013-- 相似度：0.911067(T).jpg
