1625740042068- 结果：0.679363(T).jpg0.5
1625739990649- 结果：0.998969(T).jpg1.0
1625739990698- 结果：0.998969(T).jpg1.0
1625739990749- 结果：0.99897(T).jpg1.0
1625739992315- 结果：0.65452(D).jpg0.99
1625739992367- 结果：0.964799(T).jpg0.99
1625739992417- 结果：0.981547(T).jpg0.97
1625739992473- 结果：0.914742(T).jpg0.97
1625739992522- 结果：0.824452(T).jpg0.96
1625739993894- 结果：0.936629(D).jpg0.89
1625739993948- 结果：0.899378(T).jpg0.98
1625739993998- 结果：0.908165(T).jpg0.98
1625739994055- 结果：0.910035(T).jpg0.98
1625739994105- 结果：0.910035(T).jpg0.95
1625739996772- 结果：0.979441(D).jpg0.94
1625739996824- 结果：0.884992(T).jpg0.82
1625739996874- 结果：0.971378(T).jpg0.82
1625739996975- 结果：0.971965(T).jpg0.78
1625739999873- 结果：0.98365(D).jpg0.71
1625739999925- 结果：0.981172(T).jpg0.94
1625739999974- 结果：0.897201(T).jpg0.87
1625740000024- 结果：0.897201(T).jpg0.53
1625740000073- 结果：0.789559(T).jpg0.53
1625740001926- 结果：0.906518(D).jpg0.82
1625740001981- 结果：0.799889(T).jpg0.85
1625740002031- 结果：0.799889(T).jpg0.56
1625740002080- 结果：0.593453(T).jpg0.93
1625740002135- 结果：0.616751(T).jpg0.93
1625740003891- 结果：0.554475(D).jpg0.17
1625740003943- 结果：0.96646(T).jpg0.57
1625740015293- 结果：0.997495(T).jpg0.92
1625740015341- 结果：0.990446(T).jpg0.68
1625740018114- 结果：0.982507(T).jpg0.99
1625740018169- 结果：0.990835(D).jpg0.99
1625740018270- 结果：0.992186(T).jpg1.0
1625740018319- 结果：0.943109(T).jpg1.0
1625740020657- 结果：0.973995(D).jpg1.0
1625740020709- 结果：0.999796(T).jpg1.0
1625740020760- 结果：0.999796(T).jpg1.0
1625740020811- 结果：0.99966(T).jpg1.0
1625740020860- 结果：0.998508(T).jpg1.0
1625740042117- 结果：0.731938(T).jpg0.5
1625740048351- 结果：0.931662(D).jpg1.0
1625740048407- 结果：0.963624(T).jpg1.0
1625740048459- 结果：0.999165(T).jpg1.0
1625740048510- 结果：0.998582(T).jpg1.0
1625740048560- 结果：0.999654(T).jpg1.0
1625740050076- 结果：0.999416(T).jpg0.75
1625740050426- 结果：0.999534(D).jpg0.86
1625740050478- 结果：0.998326(T).jpg0.76
1625740050912- 结果：0.999099(D).jpg0.79
1625740050971- 结果：0.999304(T).jpg0.79
1625740051021- 结果：0.999304(T).jpg0.8
1625740051073- 结果：0.999678(T).jpg0.8
1625740051123- 结果：0.998975(T).jpg0.72
1625740069023- 结果：0.567842(D).jpg0.03
1625740069298- 结果：0.517813(D).jpg0.02
1625740069364- 结果：0.879778(T).jpg0.12
1625740069415- 结果：0.941224(T).jpg0.16
1625740069468- 结果：0.941224(T).jpg0.12
1625740069518- 结果：0.290804(T).jpg0.09
1625740070917- 结果：0.737424(D).jpg0.17
1625740070973- 结果：0.597728(T).jpg0.17
1625740071024- 结果：0.645627(T).jpg0.21
1625740071075- 结果：0.645627(T).jpg0.19
1625740071127- 结果：0.693737(T).jpg0.08
1625740073166- 结果：0.791511(T).jpg0.3
1625740073216- 结果：0.791511(T).jpg0.45
1625740073267- 结果：0.760981(T).jpg0.17
1625740073318- 结果：0.594972(T).jpg0.15
1625740074776- 结果：0.811774(D).jpg0.16
1625740074832- 结果：0.955736(T).jpg0.2
1625740074883- 结果：0.934751(T).jpg0.11
1625740074935- 结果：0.934751(T).jpg0.25
1625740074988- 结果：0.903164(T).jpg0.17
1625740076289- 结果：0.541139(D).jpg0.08
1625740076341- 结果：0.839909(T).jpg0.05
1625740076392- 结果：0.656292(T).jpg0.15
1625740076448- 结果：0.730021(T).jpg0.15
1625739977458- 结果：0.996513(T).jpg0.93
1625739977510- 结果：0.995104(T).jpg0.98
1625739977562- 结果：0.992431(T).jpg0.99
1625739977614- 结果：0.994536(T).jpg0.99
1625739978943- 结果：0.992894(D).jpg0.99
1625739979002- 结果：0.989338(T).jpg1.0
1625739979054- 结果：0.979913(T).jpg1.0
1625739979106- 结果：0.979913(T).jpg1.0
1625739979158- 结果：0.991443(T).jpg1.0
1625740004042- 结果：0.97692(T).jpg0.53
1625740004093- 结果：0.97692(T).jpg0.44
1625740007490- 结果：0.865268(D).jpg0.5
1625740008655- 结果：0.985459(D).jpg0.36
1625740009459- 结果：0.985351(D).jpg0.98
1625740009515- 结果：0.989454(T).jpg0.99
1625740009564- 结果：0.989454(T).jpg1.0
1625740009612- 结果：0.998855(T).jpg1.0
1625740009661- 结果：0.998524(T).jpg1.0
1625740011126- 结果：0.999712(D).jpg1.0
1625740011177- 结果：0.999794(T).jpg1.0
1625740011226- 结果：0.999794(T).jpg1.0
1625740011275- 结果：0.998689(T).jpg1.0
1625740011329- 结果：0.999458(T).jpg1.0
1625740015188- 结果：0.994856(D).jpg1.0
1625740028217- 结果：0.242597(T).jpg0.62
1625740030165- 结果：0.607123(D).jpg0.43
1625740030226- 结果：0.535583(T).jpg0.36
1625740030276- 结果：0.505741(T).jpg0.51
1625740030325- 结果：0.638112(T).jpg0.51
1625740030374- 结果：0.638112(T).jpg0.43
1625740036493- 结果：0.768044(D).jpg0.48
1625740036544- 结果：0.616461(T).jpg0.52
1625740036594- 结果：0.763944(T).jpg0.52
1625740036644- 结果：0.855377(T).jpg0.47
1625740036695- 结果：0.855377(T).jpg0.52
1625740041913- 结果：0.827992(D).jpg0.62
1625740041968- 结果：0.5909(T).jpg0.64
1625740042018- 结果：0.5909(T).jpg0.67
1625740077971- 结果：0.775593(D).jpg0.03
1625740078022- 结果：0.635785(T).jpg0.02
1625740078073- 结果：0.635785(T).jpg0.06
1625740078123- 结果：0.926298(T).jpg0.03
1625740078173- 结果：0.944866(T).jpg0.03
1625740079612- 结果：0.544716(D).jpg0.02
1625740079674- 结果：0.941226(T).jpg0.02
1625740079727- 结果：0.925239(T).jpg0.02
1625740079777- 结果：0.873686(T).jpg0.02
1625740079828- 结果：0.877249(T).jpg0.04
1625740081525- 结果：0.740116(D).jpg0.06
1625740081582- 结果：0.572409(T).jpg0.06
1625740081633- 结果：0.538447(T).jpg0.05
1625740081737- 结果：0.82653(T).jpg0.04
1625740084763- 结果：0.941975(D).jpg1.0
1625740084822- 结果：0.926626(T).jpg1.0
1625740084873- 结果：0.926626(T).jpg0.98
1625740084924- 结果：0.920653(T).jpg0.97
1625740084974- 结果：0.923623(T).jpg0.91
1625740086701- 结果：0.726635(D).jpg0.99
1625740086758- 结果：0.883197(T).jpg0.97
1625740086809- 结果：0.883197(T).jpg0.99
1625740086861- 结果：0.636095(T).jpg0.99
1625740086911- 结果：0.575667(T).jpg0.99
1625740088767- 结果：0.397974(D).jpg0.45
1625740088821- 结果：0.544202(T).jpg0.45
1625740088872- 结果：0.544202(T).jpg0.5
1625740088924- 结果：0.534409(T).jpg0.55
1625740088975- 结果：0.24001(T).jpg0.55
1625740090633- 结果：0.794437(D).jpg0.76
1625740090689- 结果：0.458324(T).jpg0.52
1625740090740- 结果：0.458324(T).jpg0.25
1625740090792- 结果：0.51553(T).jpg0.54
1625740105861- 结果：0.760569(T).jpg0.11
1625740105912- 结果：0.790848(T).jpg0.32
1625740105962- 结果：0.758242(T).jpg0.32
1625740107427- 结果：0.411638(D).jpg0.7
1625740107481- 结果：0.741248(T).jpg0.39
1625740107533- 结果：0.741248(T).jpg0.44
1625740107584- 结果：0.517166(T).jpg0.61
1625740107636- 结果：0.62343(T).jpg0.61
1625740108938- 结果：0.481877(D).jpg0.44
1625740108992- 结果：0.511985(T).jpg0.45
1625740109044- 结果：0.38285(T).jpg0.39
1625740109096- 结果：0.494186(T).jpg0.39
1625740109148- 结果：0.492335(T).jpg0.46
1625740110351- 结果：0.330733(D).jpg0.37
1625740123944- 结果：0.999973(T).jpg1.0
1625740126362- 结果：0.999816(D).jpg1.0
1625740126418- 结果：0.999927(T).jpg1.0
1625740126469- 结果：0.999927(T).jpg1.0
1625740126520- 结果：0.999875(T).jpg1.0
1625740126570- 结果：0.999741(T).jpg1.0
1625740127889- 结果：0.997928(D).jpg0.52
1625740127942- 结果：0.998338(T).jpg0.65
1625740127993- 结果：0.998338(T).jpg0.47
1625740128042- 结果：0.999746(T).jpg0.45
1625740128094- 结果：0.999781(T).jpg0.45
1625740129612- 结果：0.994881(D).jpg0.68
1625740129674- 结果：0.998111(T).jpg0.95
1625740129726- 结果：0.998111(T).jpg0.98
1625740129778- 结果：0.996607(T).jpg0.99
1625740129830- 结果：0.999218(T).jpg1.0
1625740149857- 结果：0.993932(D).jpg0.15
1625740149916- 结果：0.799873(T).jpg0.18
1625740149968- 结果：0.880675(T).jpg0.29
1625740150025- 结果：0.965692(T).jpg0.4
1625740150075- 结果：0.968075(T).jpg0.4
1625740154934- 结果：0.87014(D).jpg0.74
1625740155189- 结果：0.448008(D).jpg0.53
1625740155245- 结果：0.309399(T).jpg0.55
1625740155297- 结果：0.798718(T).jpg0.73
1625740155349- 结果：0.763504(T).jpg0.73
1625740155401- 结果：0.267812(T).jpg0.96
1625740156873- 结果：0.326321(D).jpg0.6
1625740156925- 结果：0.468091(T).jpg0.35
1625740181805- 结果：0.995562(D).jpg1.0
1625740181857- 结果：0.996396(T).jpg1.0
1625740181909- 结果：0.996396(T).jpg1.0
1625740181960- 结果：0.998115(T).jpg1.0
1625740182012- 结果：0.998495(T).jpg1.0
1625740183203- 结果：0.997417(D).jpg1.0
1625740183258- 结果：0.997987(T).jpg1.0
1625740183310- 结果：0.991844(T).jpg1.0
1625740183361- 结果：0.991844(T).jpg1.0
1625740183412- 结果：0.995974(T).jpg1.0
1625740185642- 结果：0.729081(D).jpg1.0
1625740185701- 结果：0.809153(T).jpg0.99
1625740185752- 结果：0.834605(T).jpg0.99
1625740185803- 结果：0.944107(T).jpg0.99
1625740217180- 结果：0.926325(T).jpg0.73
1625740218194- 结果：0.696345(D).jpg0.9
1625740218246- 结果：0.920087(T).jpg0.99
1625740218296- 结果：0.920087(T).jpg0.99
1625740218347- 结果：0.980827(T).jpg0.99
1625740218397- 结果：0.921908(T).jpg1.0
1625740219615- 结果：0.797833(D).jpg0.87
1625740219670- 结果：0.963988(T).jpg0.87
1625740219721- 结果：0.778362(T).jpg0.98
1625740219771- 结果：0.778362(T).jpg0.99
1625740219822- 结果：0.931693(T).jpg0.98
1625740239556- 结果：0.912278(D).jpg0.99
1625740239611- 结果：0.974003(T).jpg0.99
1625740239663- 结果：0.983898(T).jpg1.0
1625740239713- 结果：0.922217(T).jpg1.0
1625740239765- 结果：0.884029(T).jpg1.0
1625740240714- 结果：0.997566(D).jpg1.0
1625740240766- 结果：0.999132(T).jpg1.0
1625740240817- 结果：0.999132(T).jpg1.0
1625740240868- 结果：0.999091(T).jpg1.0
1625740240918- 结果：0.999024(T).jpg1.0
1625740242173- 结果：0.999871(D).jpg1.0
1625740242225- 结果：0.999809(T).jpg1.0
1625740092157- 结果：0.917724(D).jpg0.54
1625740092214- 结果：0.946335(T).jpg0.43
1625740092267- 结果：0.911653(T).jpg0.41
1625740092320- 结果：0.968386(T).jpg0.44
1625740092372- 结果：0.896261(T).jpg0.44
1625740093689- 结果：0.64915(D).jpg0.48
1625740093744- 结果：0.708681(T).jpg0.44
1625740093797- 结果：0.708681(T).jpg0.54
1625740093850- 结果：0.748514(T).jpg0.41
1625740093907- 结果：0.716684(T).jpg0.41
1625740095109- 结果：0.700239(D).jpg0.98
1625740095164- 结果：0.772687(T).jpg1.0
1625740095215- 结果：0.955549(T).jpg0.92
1625740242331- 结果：0.999838(T).jpg1.0
1625740242384- 结果：0.999974(T).jpg1.0
1625740243758- 结果：0.999297(D).jpg1.0
1625740243812- 结果：0.999807(T).jpg1.0
1625740243863- 结果：0.999519(T).jpg1.0
1625740243912- 结果：0.999742(T).jpg1.0
1625740243963- 结果：0.999526(T).jpg1.0
1625740245441- 结果：0.989042(D).jpg1.0
1625740245496- 结果：0.958139(T).jpg0.96
1625740245548- 结果：0.958139(T).jpg1.0
1625740245599- 结果：0.995161(T).jpg1.0
1625740245649- 结果：0.999109(T).jpg1.0
1625740247118- 结果：0.999564(D).jpg1.0
1625740247173- 结果：0.999529(T).jpg1.0
1625740247231- 结果：0.999621(T).jpg1.0
1625740247281- 结果：0.999621(T).jpg1.0
1625740095319- 结果：0.84079(T).jpg1.0
1625740100891- 结果：0.474906(D).jpg0.79
1625740100947- 结果：0.515415(T).jpg0.97
1625740100998- 结果：0.515415(T).jpg0.41
1625740101051- 结果：0.315285(T).jpg0.99
1625740101103- 结果：0.63951(T).jpg0.99
1625740102557- 结果：0.561813(D).jpg0.21
1625740102612- 结果：0.70132(T).jpg0.1
1625740102663- 结果：0.70132(T).jpg0.25
1625740102715- 结果：0.752713(T).jpg0.41
1625740102765- 结果：0.893195(T).jpg0.41
1625740104102- 结果：0.363598(D).jpg0.41
1625740104158- 结果：0.561969(T).jpg0.35
1625740104209- 结果：0.596125(T).jpg0.14
1625740104265- 结果：0.596125(T).jpg0.29
1625740104316- 结果：0.552955(T).jpg0.26
1625740105757- 结果：0.864(D).jpg0.33
1625740116991- 结果：0.998424(T).jpg1.0
1625740117043- 结果：0.997926(T).jpg1.0
1625740117095- 结果：0.998648(T).jpg1.0
1625740117147- 结果：0.999576(T).jpg1.0
1625740118429- 结果：0.994811(D).jpg1.0
1625740118484- 结果：0.999624(T).jpg1.0
1625740118536- 结果：0.999671(T).jpg1.0
1625740118592- 结果：0.999671(T).jpg1.0
1625740118645- 结果：0.999578(T).jpg1.0
1625740120005- 结果：0.997316(D).jpg1.0
1625740120065- 结果：0.998837(T).jpg1.0
1625740120118- 结果：0.998239(T).jpg1.0
1625740120170- 结果：0.994359(T).jpg1.0
1625740120221- 结果：0.994685(T).jpg1.0
1625740122147- 结果：0.974526(D).jpg0.98
1625740122202- 结果：0.982032(T).jpg0.95
1625740122302- 结果：0.979585(T).jpg0.99
1625740122352- 结果：0.94563(T).jpg0.99
1625740123738- 结果：0.999486(D).jpg1.0
1625740123793- 结果：0.999966(T).jpg1.0
1625740123844- 结果：0.99967(T).jpg1.0
1625740136364- 结果：0.998508(T).jpg0.21
1625740137897- 结果：0.992055(D).jpg0.29
1625740137950- 结果：0.730281(T).jpg0.38
1625740137999- 结果：0.650951(T).jpg0.62
1625740138049- 结果：0.650951(T).jpg0.8
1625740138099- 结果：0.979194(T).jpg0.94
1625740139804- 结果：0.998365(D).jpg0.39
1625740139859- 结果：0.993835(T).jpg0.33
1625740139910- 结果：0.981021(T).jpg0.24
1625740139960- 结果：0.962644(T).jpg0.24
1625740140010- 结果：0.99143(T).jpg0.43
1625740141750- 结果：0.924948(D).jpg0.47
1625740141803- 结果：0.9481(T).jpg0.56
1625740141853- 结果：0.9481(T).jpg0.6
1625740141903- 结果：0.933883(T).jpg0.48
1625740141953- 结果：0.983904(T).jpg0.48
1625740143338- 结果：0.696995(D).jpg0.56
1625740073112- 结果：0.849064(D).jpg0.13
1625740076498- 结果：0.810689(T).jpg0.04
1625740081683- 结果：0.82653(T).jpg0.06
1625740090843- 结果：0.536288(T).jpg0.44
1625740095267- 结果：0.955549(T).jpg0.98
1625740105810- 结果：0.760569(T).jpg0.23
1625740110410- 结果：0.773437(T).jpg0.39
1625740116936- 结果：0.993576(D).jpg1.0
1625740123894- 结果：0.999973(T).jpg1.0
1625740131562- 结果：0.994397(D).jpg0.94
1625740136309- 结果：0.998889(T).jpg0.46
1625740143392- 结果：0.970202(T).jpg0.61
1625740165605- 结果：0.818127(D).jpg0.93
1625740165658- 结果：0.781356(T).jpg0.98
1625740165711- 结果：0.781356(T).jpg0.95
1625740165762- 结果：0.711603(T).jpg0.94
1625740165813- 结果：0.825684(T).jpg0.94
1625740167400- 结果：0.628368(D).jpg0.97
1625740167456- 结果：0.825024(T).jpg0.98
1625740167508- 结果：0.825024(T).jpg0.93
1625740167559- 结果：0.577239(T).jpg0.95
1625740167611- 结果：0.629497(T).jpg0.95
1625740169197- 结果：0.973169(D).jpg0.96
1625740169250- 结果：0.844324(T).jpg0.97
1625740169301- 结果：0.844324(T).jpg0.98
1625740169352- 结果：0.808032(T).jpg0.97
1625740169403- 结果：0.726058(T).jpg0.97
1625740178802- 结果：0.998029(D).jpg1.0
1625740178858- 结果：0.998002(T).jpg0.99
1625740178909- 结果：0.998002(T).jpg1.0
1625740178961- 结果：0.997952(T).jpg1.0
1625740179015- 结果：0.998644(T).jpg1.0
1625740180350- 结果：0.995149(D).jpg1.0
1625740180404- 结果：0.982381(T).jpg1.0
1625740180455- 结果：0.990225(T).jpg1.0
1625740180506- 结果：0.990225(T).jpg1.0
1625740191988- 结果：0.978842(D).jpg1.0
1625740192044- 结果：0.997621(T).jpg1.0
1625740192095- 结果：0.991506(T).jpg1.0
1625740192146- 结果：0.996889(T).jpg1.0
1625740192197- 结果：0.997589(T).jpg1.0
1625740201030- 结果：0.631117(D).jpg0.23
1625740203858- 结果：0.810969(D).jpg0.52
1625740203915- 结果：0.849013(T).jpg0.63
1625740203964- 结果：0.849013(T).jpg0.65
1625740204015- 结果：0.447084(T).jpg0.89
1625740204066- 结果：0.529216(T).jpg0.89
1625740205392- 结果：0.826446(D).jpg0.88
1625740205454- 结果：0.905792(T).jpg0.71
1625740205506- 结果：0.863709(T).jpg0.78
1625740205557- 结果：0.863709(T).jpg0.8
1625740205607- 结果：0.898786(T).jpg0.93
1625740206935- 结果：0.797199(D).jpg0.99
1625740206988- 结果：0.834519(T).jpg0.99
1625740207038- 结果：0.838232(T).jpg0.98
1625740207094- 结果：0.838232(T).jpg0.99
1625740207144- 结果：0.894434(T).jpg1.0
1625740216977- 结果：0.936722(D).jpg0.82
1625740217029- 结果：0.974849(T).jpg0.9
1625740217079- 结果：0.961409(T).jpg0.88
1625740110461- 结果：0.551939(T).jpg0.47
1625740110513- 结果：0.502036(T).jpg0.45
1625740110565- 结果：0.508655(T).jpg0.45
1625740111950- 结果：0.587458(D).jpg0.59
1625740112006- 结果：0.576172(T).jpg0.64
1625740112057- 结果：0.761376(T).jpg0.4
1625740112109- 结果：0.686922(T).jpg0.35
1625740112162- 结果：0.544076(T).jpg0.35
1625740113714- 结果：0.580625(D).jpg0.65
1625740113768- 结果：0.734058(T).jpg0.74
1625740113819- 结果：0.689153(T).jpg0.74
1625740113871- 结果：0.689153(T).jpg0.64
1625740113922- 结果：0.733143(T).jpg0.78
1625740115702- 结果：0.984201(D).jpg1.0
1625740115759- 结果：0.999668(T).jpg1.0
1625740115811- 结果：0.999305(T).jpg1.0
1625740115862- 结果：0.999305(T).jpg1.0
1625740115914- 结果：0.999241(T).jpg1.0
1625740131626- 结果：0.999514(T).jpg0.98
1625740131677- 结果：0.999414(T).jpg0.98
1625740131731- 结果：0.999414(T).jpg1.0
1625740131781- 结果：0.998628(T).jpg1.0
1625740132830- 结果：0.910473(D).jpg0.74
1625740132886- 结果：0.99931(T).jpg0.64
1625740132936- 结果：0.998755(T).jpg0.93
1625740132987- 结果：0.998755(T).jpg0.81
1625740133037- 结果：0.994896(T).jpg0.8
1625740134578- 结果：0.984048(D).jpg0.84
1625740134633- 结果：0.998918(T).jpg0.96
1625740134682- 结果：0.999203(T).jpg0.96
1625740134733- 结果：0.996347(T).jpg0.94
1625740134783- 结果：0.996347(T).jpg0.96
1625740136156- 结果：0.999955(D).jpg0.39
1625740136208- 结果：0.997789(T).jpg0.52
1625740136258- 结果：0.997789(T).jpg0.2
1625740143442- 结果：0.938119(T).jpg0.74
1625740143493- 结果：0.968908(T).jpg0.58
1625740143543- 结果：0.952006(T).jpg0.58
1625740148251- 结果：0.998252(D).jpg0.91
1625740148307- 结果：0.999671(T).jpg0.93
1625740148357- 结果：0.999851(T).jpg0.99
1625740148409- 结果：0.999972(T).jpg0.99
1625740157032- 结果：0.308966(T).jpg0.6
1625740157082- 结果：0.181387(T).jpg0.6
1625740159971- 结果：0.96688(D).jpg0.89
1625740160026- 结果：0.910621(T).jpg0.89
1625740160077- 结果：0.992745(T).jpg0.89
1625740160129- 结果：0.916915(T).jpg0.98
1625740160184- 结果：0.916915(T).jpg0.96
1625740161704- 结果：0.96076(D).jpg1.0
1625740161760- 结果：0.9594(T).jpg1.0
1625740161813- 结果：0.781668(T).jpg1.0
1625740161863- 结果：0.943727(T).jpg1.0
1625740161917- 结果：0.943727(T).jpg1.0
1625740163896- 结果：0.911356(D).jpg0.99
1625740163955- 结果：0.620812(T).jpg0.98
1625740164009- 结果：0.83269(T).jpg0.98
1625740164059- 结果：0.783971(T).jpg0.98
1625740187295- 结果：0.980863(D).jpg1.0
1625740187350- 结果：0.917336(T).jpg1.0
1625740187401- 结果：0.945273(T).jpg1.0
1625740187452- 结果：0.963584(T).jpg1.0
1625740187504- 结果：0.963584(T).jpg1.0
1625740189028- 结果：0.996081(D).jpg1.0
1625740189083- 结果：0.998808(T).jpg1.0
1625740189136- 结果：0.999082(T).jpg1.0
1625740189187- 结果：0.998805(T).jpg1.0
1625740189242- 结果：0.998805(T).jpg1.0
1625740190651- 结果：0.979881(D).jpg1.0
1625740190724- 结果：0.994801(T).jpg1.0
1625740190778- 结果：0.98794(T).jpg1.0
1625740190830- 结果：0.99217(T).jpg1.0
1625740251514- 结果：0.985855(D).jpg0.51
1625740255092- 结果：0.874983(D).jpg1.0
1625740255146- 结果：0.878412(T).jpg1.0
1625740255198- 结果：0.639712(T).jpg1.0
1625740255250- 结果：0.618329(T).jpg1.0
1625740255301- 结果：0.815238(T).jpg1.0
1625740256620- 结果：0.97826(D).jpg0.98
1625740256676- 结果：0.856282(T).jpg1.0
1625740256730- 结果：0.81015(T).jpg0.99
1625740256787- 结果：0.959276(T).jpg0.98
1625740256837- 结果：0.844218(T).jpg0.98
1625740258152- 结果：0.921812(D).jpg0.99
1625740258206- 结果：0.96984(T).jpg0.99
1625740258258- 结果：0.95165(T).jpg0.99
1625740258312- 结果：0.631149(T).jpg0.99
1625740258364- 结果：0.6891(T).jpg0.98
1625740259647- 结果：0.604516(D).jpg0.93
1625740259753- 结果：0.515338(T).jpg0.96
1625740259805- 结果：0.520663(T).jpg0.97
1625740259857- 结果：0.773489(T).jpg1.0
1625740261244- 结果：0.66294(D).jpg1.0
1625740261307- 结果：0.955431(T).jpg1.0
1625740261360- 结果：0.97274(T).jpg1.0
1625740261412- 结果：0.97274(T).jpg1.0
1625740261468- 结果：0.991767(T).jpg1.0
1625740262731- 结果：0.985076(D).jpg1.0
1625740262786- 结果：0.985989(T).jpg1.0
